fips,lf.2007,emp.2007,ue.2007
1001,24383,23577,3.3
1003,82659,80099,3.1
1005,10334,9684,6.3
1007,8791,8432,4.1
1009,26629,25780,3.2
1011,3653,3308,9.4
1013,9099,8539,6.2
1015,54861,52709,3.9
1017,15474,14469,6.5
1019,11984,11484,4.2
1021,19737,19067,3.4
1023,5183,4875,5.9
1025,10358,9730,6.1
1027,6113,5775,5.5
1029,6483,6246,3.7
1031,21077,20275,3.8
1033,25386,24216,4.6
1035,4965,4646,6.4
1037,4686,4415,5.8
1039,17070,16409,3.9
1041,6546,6264,4.3
1043,39367,38047,3.4
1045,20250,19450,4
1047,15555,14259,8.3
1049,31013,29689,4.3
1051,35805,34620,3.3
1053,14288,13530,5.3
1055,45459,43431,4.5
1057,7387,7039,4.7
1059,13742,13108,4.6
1061,11535,11137,3.5
1063,3284,3075,6.4
1065,6976,6602,5.4
1067,7540,7135,5.4
1069,47179,45607,3.3
1071,27020,25799,4.5
1073,314739,302603,3.9
1075,5854,5488,6.3
1077,43257,41389,4.3
1079,15807,15160,4.1
1081,65326,62949,3.6
1083,36340,35123,3.3
1085,4758,4400,7.5
1087,8865,8385,5.4
1089,165286,160218,3.1
1091,8150,7718,5.3
1093,12974,12297,5.2
1095,41311,39890,3.4
1097,184490,177096,4
1099,8945,8369,6.4
1101,106156,101798,4.1
1103,56642,54654,3.5
1105,3543,3244,8.4
1107,8015,7613,5
1109,15575,14947,4
1111,9487,9005,5.1
1113,21734,20414,6.1
1115,36040,34813,3.4
1117,99647,97043,2.6
1119,4778,4466,6.5
1121,38922,36898,5.2
1123,18311,17340,5.3
1125,89008,86080,3.3
1127,29056,27800,4.3
1129,7002,6586,5.9
1131,3438,3106,9.7
1133,10287,9712,5.6
2013,1094,1007,8
2016,3085,2917,5.4
2020,151051,143336,5.1
2050,6951,6062,12.8
2060,1064,1014,4.7
2068,1602,1502,6.2
2070,2045,1858,9.1
2090,45385,42858,5.6
2100,1446,1339,7.4
2110,18459,17626,4.5
2122,25700,23674,7.9
