fips,jan_temp,jan_sun,july_temp,july_humidity,land_surface,per_water,log_water,amenity_scale,amenity_rank,jan_temp_z,jan_sun_z,july_temp_z,july_humidity_z,land_surface_z,log_water_z
1001,47.4 ,130 ,81.0 ,66 ,14 ,1.40 ,4.944 ,0.78 ,4,1.20277 ,-0.64758 ,-0.13206 ,-0.68502 ,0.77701 ,0.26585
1003,51.9 ,152 ,80.6 ,72 ,4 ,21.24 ,7.661 ,1.82 ,4,1.57504 ,0.01482 ,0.36308 ,-1.09576 ,-0.73966 ,1.70428
1005,48.8 ,152 ,81.0 ,69 ,4 ,2.17 ,5.378 ,0.19 ,4,1.31859 ,0.01482 ,-0.01148 ,-0.89039 ,-0.73966 ,0.4957
1007,44.8 ,130 ,80.8 ,66 ,14 ,0.50 ,3.916 ,-0.15 ,3,0.98768 ,-0.64758 ,-0.30223 ,-0.68502 ,0.77701 ,-0.27812
1009,41.9 ,130 ,78.4 ,66 ,14 ,0.76 ,4.336 ,0.23 ,4,0.74778 ,-0.64758 ,0.09330 ,-0.68502 ,0.77701 ,-0.05592
1011,47.8 ,149 ,80.2 ,67 ,4 ,0.17 ,2.810 ,-1.08 ,3,1.23586 ,-0.07551 ,0.11749 ,-0.75347 ,-0.73966 ,-0.86356
1013,49.2 ,152 ,80.8 ,69 ,4 ,0.13 ,2.602 ,-1.16 ,3,1.35168 ,0.01482 ,0.07675 ,-0.89039 ,-0.73966 ,-0.97346
1015,42.8 ,130 ,79.2 ,66 ,15 ,0.63 ,4.141 ,0.22 ,4,0.82223 ,-0.64758 ,-0.04428 ,-0.68502 ,0.92868 ,-0.15897
1017,44.2 ,149 ,79.2 ,67 ,5 ,0.95 ,4.557 ,-0.34 ,3,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,-0.58800 ,0.06137
1019,42.8 ,130 ,79.2 ,66 ,9 ,7.81 ,6.660 ,0.64 ,4,0.82223 ,-0.64758 ,-0.04428 ,-0.68502 ,0.01867 ,1.17434
1021,44.6 ,130 ,80.0 ,66 ,14 ,0.96 ,4.566 ,0.38 ,4,0.97114 ,-0.64758 ,-0.10435 ,-0.68502 ,0.77701 ,0.06603
1023,47.4 ,152 ,80.5 ,69 ,13 ,0.80 ,4.377 ,0.92 ,4,1.20277 ,0.01482 ,0.00238 ,-0.89039 ,0.62534 ,-0.03413
1025,47.4 ,152 ,80.5 ,69 ,14 ,1.13 ,4.726 ,1.26 ,4,1.20277 ,0.01482 ,0.00238 ,-0.89039 ,0.77701 ,0.15046
1027,44.2 ,149 ,79.2 ,67 ,15 ,0.15 ,2.731 ,0.21 ,4,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,0.92868 ,-0.9055
1029,44.2 ,149 ,79.2 ,67 ,15 ,0.15 ,2.730 ,0.21 ,4,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,0.92868 ,-0.90609
1031,50.5 ,152 ,80.5 ,69 ,4 ,0.20 ,2.973 ,-0.66 ,3,1.45922 ,0.01482 ,0.26938 ,-0.89039 ,-0.73966 ,-0.77748
1033,41.3 ,130 ,80.1 ,65 ,14 ,4.66 ,6.145 ,0.70 ,4,0.69815 ,-0.64758 ,-0.41547 ,-0.61656 ,0.77701 ,0.90165
1035,48.4 ,152 ,80.5 ,69 ,4 ,0.20 ,2.999 ,-1.00 ,3,1.28550 ,0.01482 ,0.08851 ,-0.89039 ,-0.73966 ,-0.76377
1037,44.2 ,149 ,79.2 ,67 ,15 ,2.09 ,5.342 ,1.59 ,4,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,0.92868 ,0.47658
1039,49.2 ,152 ,80.8 ,69 ,4 ,0.88 ,4.481 ,-0.17 ,3,1.35168 ,0.01482 ,0.07675 ,-0.89039 ,-0.73966 ,0.02092
1041,48.5 ,152 ,80.3 ,69 ,4 ,0.21 ,3.050 ,-0.91 ,3,1.29377 ,0.01482 ,0.15089 ,-0.89039 ,-0.73966 ,-0.73652
1043,40.9 ,130 ,78.3 ,66 ,14 ,2.17 ,5.380 ,0.64 ,4,0.66505 ,-0.64758 ,0.03406 ,-0.68502 ,0.77701 ,0.49675
1045,50.5 ,152 ,80.5 ,69 ,4 ,0.28 ,3.348 ,-0.47 ,3,1.45922 ,0.01482 ,0.26938 ,-0.89039 ,-0.73966 ,-0.57903
1047,49.1 ,149 ,81.7 ,67 ,4 ,1.27 ,4.848 ,-0.18 ,3,1.34340 ,-0.07551 ,-0.17386 ,-0.75347 ,-0.73966 ,0.215
1049,39.6 ,130 ,76.8 ,66 ,9 ,0.09 ,2.238 ,-1.60 ,3,0.55751 ,-0.64758 ,0.32541 ,-0.68502 ,0.01867 ,-1.16637
1051,46.0 ,149 ,79.7 ,67 ,14 ,5.43 ,6.297 ,2.11 ,4,1.08696 ,-0.07551 ,0.09690 ,-0.75347 ,0.77701 ,0.98215
1053,50.5 ,152 ,80.3 ,69 ,4 ,0.58 ,4.068 ,-0.03 ,3,1.45922 ,0.01482 ,0.32316 ,-0.89039 ,-0.73966 ,-0.19763
1055,42.8 ,130 ,79.2 ,66 ,15 ,2.55 ,5.540 ,0.96 ,4,0.82223 ,-0.64758 ,-0.04428 ,-0.68502 ,0.92868 ,0.58125
1057,43.7 ,130 ,79.6 ,66 ,14 ,0.25 ,3.217 ,-0.38 ,3,0.89669 ,-0.64758 ,-0.07432 ,-0.68502 ,0.77701 ,-0.64831
1059,41.3 ,130 ,80.1 ,65 ,14 ,1.68 ,5.125 ,0.16 ,4,0.69815 ,-0.64758 ,-0.41547 ,-0.61656 ,0.77701 ,0.36168
1061,49.8 ,152 ,81.1 ,69 ,4 ,0.45 ,3.797 ,-0.51 ,3,1.40131 ,0.01482 ,0.04776 ,-0.89039 ,-0.73966 ,-0.34118
1063,47.4 ,149 ,81.1 ,67 ,4 ,2.13 ,5.359 ,-0.04 ,3,1.20277 ,-0.07551 ,-0.15895 ,-0.75347 ,-0.73966 ,0.48587
1065,47.4 ,149 ,81.1 ,67 ,14 ,1.94 ,5.268 ,1.43 ,4,1.20277 ,-0.07551 ,-0.15895 ,-0.75347 ,0.77701 ,0.43761
1067,50.6 ,152 ,81.3 ,69 ,4 ,1.13 ,4.727 ,0.07 ,4,1.46749 ,0.01482 ,0.06289 ,-0.89039 ,-0.73966 ,0.15115
1069,50.6 ,152 ,81.3 ,69 ,4 ,0.22 ,3.107 ,-0.79 ,3,1.46749 ,0.01482 ,0.06289 ,-0.89039 ,-0.73966 ,-0.70651
1071,41.1 ,130 ,78.6 ,66 ,16 ,4.26 ,6.055 ,1.25 ,4,0.68160 ,-0.64758 ,-0.02938 ,-0.68502 ,1.08035 ,0.85402
1073,44.2 ,130 ,79.9 ,66 ,15 ,1.00 ,4.602 ,0.51 ,4,0.93805 ,-0.64758 ,-0.11192 ,-0.68502 ,0.92868 ,0.08485
1075,43.7 ,130 ,79.6 ,66 ,14 ,0.10 ,2.326 ,-0.85 ,3,0.89669 ,-0.64758 ,-0.07432 ,-0.68502 ,0.77701 ,-1.11966
1077,41.3 ,130 ,80.1 ,65 ,14 ,6.86 ,6.531 ,0.90 ,4,0.69815 ,-0.64758 ,-0.41547 ,-0.61656 ,0.77701 ,1.10611
1079,41.3 ,130 ,80.1 ,65 ,14 ,3.44 ,5.840 ,0.54 ,4,0.69815 ,-0.64758 ,-0.41547 ,-0.61656 ,0.77701 ,0.74015
1081,46.0 ,149 ,79.7 ,67 ,4 ,1.11 ,4.708 ,-0.24 ,3,1.08696 ,-0.07551 ,0.09690 ,-0.75347 ,-0.73966 ,0.14089
1083,41.2 ,130 ,79.2 ,65 ,4 ,6.43 ,6.466 ,-0.42 ,3,0.68987 ,-0.64758 ,-0.18209 ,-0.61656 ,-0.73966 ,1.07166
1085,47.5 ,149 ,81.0 ,67 ,4 ,0.98 ,4.583 ,-0.41 ,3,1.21104 ,-0.07551 ,-0.12345 ,-0.75347 ,-0.73966 ,0.0748
1087,47.8 ,149 ,80.2 ,67 ,4 ,0.44 ,3.792 ,-0.56 ,3,1.23586 ,-0.07551 ,0.11749 ,-0.75347 ,-0.73966 ,-0.3437
1089,40.9 ,130 ,79.5 ,65 ,6 ,0.98 ,4.580 ,-1.25 ,3,0.66505 ,-0.64758 ,-0.28860 ,-0.61656 ,-0.43633 ,0.07356
1091,47.4 ,149 ,81.1 ,67 ,4 ,0.59 ,4.078 ,-0.72 ,3,1.20277 ,-0.07551 ,-0.15895 ,-0.75347 ,-0.73966 ,-0.19255
1093,41.4 ,130 ,78.2 ,66 ,14 ,0.29 ,3.369 ,-0.31 ,3,0.70642 ,-0.64758 ,0.10401 ,-0.68502 ,0.77701 ,-0.56772
1095,40.9 ,130 ,77.6 ,66 ,6 ,9.00 ,6.803 ,0.37 ,4,0.66505 ,-0.64758 ,0.22228 ,-0.68502 ,-0.43633 ,1.24995
1097,51.2 ,152 ,81.6 ,72 ,4 ,24.98 ,7.823 ,1.52 ,4,1.51713 ,0.01482 ,0.03390 ,-1.09576 ,-0.73966 ,1.79023
1099,48.4 ,152 ,80.5 ,69 ,14 ,0.84 ,4.426 ,1.27 ,4,1.28550 ,0.01482 ,0.08851 ,-0.89039 ,0.77701 ,-0.00811
1101,47.5 ,149 ,81.0 ,67 ,4 ,1.24 ,4.823 ,-0.28 ,3,1.21104 ,-0.07551 ,-0.12345 ,-0.75347 ,-0.73966 ,0.20173
1103,41.2 ,149 ,79.2 ,67 ,14 ,2.81 ,5.639 ,1.09 ,4,0.68987 ,-0.07551 ,-0.18209 ,-0.75347 ,0.77701 ,0.63376
1105,47.4 ,149 ,81.1 ,67 ,14 ,0.63 ,4.149 ,0.84 ,4,1.20277 ,-0.07551 ,-0.15895 ,-0.75347 ,0.77701 ,-0.15466
1107,45.0 ,130 ,81.2 ,66 ,14 ,0.97 ,4.575 ,0.13 ,4,1.00423 ,-0.64758 ,-0.39255 ,-0.68502 ,0.77701 ,0.07092
1109,49.1 ,152 ,80.2 ,69 ,4 ,0.16 ,2.758 ,-0.93 ,3,1.34340 ,0.01482 ,0.22946 ,-0.89039 ,-0.73966 ,-0.89104
1111,44.2 ,149 ,79.2 ,67 ,14 ,0.52 ,3.959 ,0.71 ,4,0.93805 ,-0.07551 ,0.07630 ,-0.75347 ,0.77701 ,-0.25558
1113,48.8 ,152 ,81.0 ,69 ,4 ,0.97 ,4.578 ,-0.24 ,3,1.31859 ,0.01482 ,-0.01148 ,-0.89039 ,-0.73966 ,0.07222
1115,45.0 ,130 ,79.3 ,66 ,15 ,3.01 ,5.707 ,1.39 ,4,1.00423 ,-0.64758 ,0.11832 ,-0.68502 ,0.92868 ,0.66984
1117,45.0 ,130 ,79.3 ,66 ,15 ,1.81 ,5.200 ,1.12 ,4,1.00423 ,-0.64758 ,0.11832 ,-0.68502 ,0.92868 ,0.40169
1119,47.4 ,149 ,81.1 ,67 ,4 ,0.92 ,4.518 ,-0.48 ,3,1.20277 ,-0.07551 ,-0.15895 ,-0.75347 ,-0.73966 ,0.04047
1121,45.0 ,130 ,79.3 ,66 ,15 ,2.73 ,5.608 ,1.34 ,4,1.00423 ,-0.64758 ,0.11832 ,-0.68502 ,0.92868 ,0.61735
1123,46.0 ,149 ,79.7 ,67 ,14 ,6.30 ,6.445 ,2.19 ,4,1.08696 ,-0.07551 ,0.09690 ,-0.75347 ,0.77701 ,1.06077
1125,45.0 ,130 ,81.2 ,66 ,14 ,1.98 ,5.288 ,0.50 ,4,1.00423 ,-0.64758 ,-0.39255 ,-0.68502 ,0.77701 ,0.44806
1127,43.7 ,130 ,79.6 ,66 ,14 ,1.35 ,4.909 ,0.51 ,4,0.89669 ,-0.64758 ,-0.07432 ,-0.68502 ,0.77701 ,0.24736
1129,47.4 ,152 ,80.5 ,69 ,4 ,0.72 ,4.283 ,-0.49 ,3,1.20277 ,0.01482 ,0.00238 ,-0.89039 ,-0.73966 ,-0.08372
1131,47.4 ,152 ,80.5 ,69 ,14 ,2.07 ,5.332 ,1.58 ,4,1.20277 ,0.01482 ,0.00238 ,-0.89039 ,0.77701 ,0.47162
1133,41.4 ,130 ,78.2 ,66 ,14 ,2.76 ,5.619 ,0.88 ,4,0.70642 ,-0.64758 ,0.10401 ,-0.68502 ,0.77701 ,0.62346
4001,27.5 ,230 ,70.6 ,26 ,6 ,0.12 ,2.487 ,3.45 ,5,-0.44347 ,2.36332 ,0.95028 ,2.05327 ,-0.43633 ,-1.03461
4003,47.6 ,260 ,79.5 ,28 ,12 ,0.79 ,4.373 ,7.13 ,7,1.21932 ,3.26659 ,0.28848 ,1.91635 ,0.47368 ,-0.03609
4005,30.5 ,230 ,69.4 ,26 ,8 ,0.23 ,3.147 ,4.93 ,6,-0.19529 ,2.36332 ,1.53133 ,2.05327 ,-0.13299 ,-0.68508
4007,42.6 ,248 ,77.9 ,20 ,17 ,0.58 ,4.068 ,7.50 ,7,0.80569 ,2.90528 ,0.28803 ,2.46401 ,1.23201 ,-0.19765
4009,44.9 ,260 ,85.0 ,28 ,16 ,0.25 ,3.238 ,5.20 ,6,0.99596 ,3.26659 ,-1.42291 ,1.91635 ,1.08035 ,-0.63692
4011,46.3 ,260 ,86.4 ,28 ,21 ,0.08 ,2.039 ,5.18 ,6,1.11177 ,3.26659 ,-1.67876 ,1.91635 ,1.83868 ,-1.27179
4012,55.4 ,266 ,93.7 ,23 ,11 ,0.19 ,2.940 ,4.24 ,5,1.86458 ,3.44725 ,-2.85779 ,2.25864 ,0.32201 ,-2.35103
4013,51.2 ,248 ,91.2 ,20 ,17 ,0.23 ,3.116 ,4.87 ,6,1.51713 ,2.90528 ,-2.54734 ,2.46401 ,1.23201 ,-0.70154
4015,36.4 ,230 ,73.9 ,31 ,12 ,1.17 ,4.765 ,5.84 ,6,0.29279 ,2.36332 ,0.82954 ,1.71098 ,0.47368 ,0.17138
4017,32.6 ,230 ,78.3 ,26 ,6 ,0.06 ,1.863 ,1.91 ,4,-0.02157 ,2.36332 ,-0.68083 ,2.05327 ,-0.43633 ,-1.36465
4019,51.1 ,260 ,86.5 ,28 ,12 ,0.03 ,0.972 ,4.04 ,5,1.50886 ,3.26659 ,-1.29222 ,1.91635 ,0.47368 ,-1.83629
4021,50.6 ,248 ,91.1 ,20 ,11 ,0.08 ,2.125 ,3.36 ,5,1.46749 ,2.90528 ,-2.57213 ,2.46401 ,0.32201 ,-1.22618
4023,41.4 ,260 ,74.0 ,28 ,12 ,0.04 ,1.334 ,5.95 ,6,0.70642 ,3.26659 ,1.23331 ,1.91635 ,0.47368 ,-1.64495
4025,35.8 ,230 ,72.8 ,31 ,17 ,0.06 ,1.774 ,5.21 ,6,0.24315 ,2.36332 ,1.07363 ,1.71098 ,1.23201 ,-1.4121
4027,55.4 ,266 ,93.7 ,23 ,11 ,0.19 ,2.940 ,4.24 ,5,1.86458 ,3.44725 ,-2.85779 ,2.25864 ,0.32201 ,-0.79472
5001,40.3 ,146 ,80.9 ,60 ,1 ,4.38 ,6.083 ,-0.87 ,3,0.61542 ,-0.16583 ,-0.71671 ,-0.27427 ,-1.19466 ,0.86897
5003,45.4 ,140 ,81.2 ,66 ,1 ,1.90 ,5.245 ,-1.12 ,3,1.03732 ,-0.34649 ,-0.35810 ,-0.68502 ,-1.19466 ,0.42513
5005,36.8 ,150 ,79.0 ,51 ,19 ,5.52 ,6.313 ,2.64 ,5,0.32588 ,-0.04540 ,-0.50729 ,0.34184 ,1.53535 ,0.99066
5007,37.3 ,150 ,78.0 ,57 ,19 ,3.82 ,5.946 ,2.39 ,5,0.36724 ,-0.04540 ,-0.19535 ,-0.06890 ,1.53535 ,0.79637
5009,37.2 ,150 ,78.5 ,57 ,20 ,1.77 ,5.175 ,1.98 ,4,0.35897 ,-0.04540 ,-0.33840 ,-0.06890 ,1.68702 ,0.38827
5011,44.5 ,153 ,82.2 ,62 ,4 ,0.57 ,4.048 ,-1.06 ,3,0.96287 ,0.04493 ,-0.70450 ,-0.41119 ,-0.73966 ,-0.20808
