fips,bach2010_share,bach2010
1001,21.7,7353
1003,26.8,32578
1005,13.5,2549
1007,10,1508
1009,12.5,4761
1011,12,876
1013,11,1544
1015,16.1,12513
1017,10.8,2564
1019,10.5,1948
1021,12.2,3484
1023,10.9,1067
1025,13.5,2273
1027,9.5,934
1029,8.4,851
1031,22.1,7166
1033,16.4,6230
1035,9.7,865
1037,10.6,866
1039,13.1,3409
1041,10.1,964
1043,13.8,7485
1045,17.5,5695
1047,14.3,4010
1049,10.9,5048
1051,20.2,10455
1053,10.9,2824
1055,15.8,11221
1057,9.5,1148
1059,11.8,2463
1061,8,1462
1063,9.9,603
1065,10,1055
1067,15,1795
1069,19,12571
1071,12,4440
1073,28.8,125738
1075,9.2,946
1077,21.5,13325
1079,10.7,2479
1081,30.9,23351
1083,20.8,11111
1085,12.7,969
1087,20.9,2756
1089,37.4,79352
1091,17.9,2503
1093,8.8,1922
1095,14.5,8739
1097,19.8,52232
1099,11.2,1724
1101,30.5,44334
1103,19.1,15146
1105,13.3,882
1107,11.5,1535
1109,23.7,4419
1111,12.2,1869
1113,11.9,3980
1115,14.5,7941
1117,39.6,49481
1119,12.8,1105
1121,11.9,6619
1123,15.7,4511
1125,26.2,29008
1127,9.7,4554
1129,9.3,1073
1131,13.2,1013
1133,11.1,1926
2013,9.6,290
2016,9,455
2020,33,58463
2050,13.9,1198
2060,15.9,101
2068,27.5,232
2070,20.2,535
2090,27.1,15351
2100,33.1,397
2105,27.9,447
2110,34.7,7152
2122,22.4,8128
2130,24.2,2154
2150,21.8,1745
2164,13.5,101
2170,20.8,10849
2180,14.9,747
2185,13.5,625
2188,12.5,478
2195,27.4,742
2198,17.8,655
2220,29.2,1732
2230,32.3,233
2240,20,862
2261,23.7,1507
2270,7.7,251
2275,16.2,248
2282,17.9,70
2290,11.5,401
4001,10.3,4139
4003,21.4,18645
4005,31.1,23836
4007,15,5663
4009,13.4,2882
4011,13.4,701
4012,9,1426
4013,29,689051
4015,12,17174
4017,14.4,9201
4019,29.6,188086
4021,17.9,38965
4023,17.3,4828
4025,23.7,36292
4027,13.3,15446
5001,14.3,1888
5003,13.7,2037
5005,14.5,4549
5007,25.9,34609
5009,14.5,3637
5011,12.7,1043
5013,6.6,251
5015,17.4,3301
5017,12.6,1029
5019,21.7,2914
5021,8.8,1004
5023,13.8,2590
5025,14,821
5027,20.8,3249
5029,13.8,1947
5031,23.1,13511
5033,13,5121
5035,14.2,4371
5037,12.6,1501
5039,12.4,690
5041,13.6,1176
5043,19.4,2304
5045,26.4,16960
5047,11.6,1420
5049,9.7,855
5051,20.2,13743
5053,14.7,1742
5055,12,3277
5057,14.7,2158
5059,12.5,2793
5061,12.4,1111
5063,14.7,3554
5065,12.3,1244
5067,7,890
5069,16.5,8364
5071,14.8,2408
5073,13.3,696
5075,9.2,1074
5077,8.5,619
5079,8.6,812
5081,11.9,1064
5083,11.7,1777
5085,16.6,7012
5087,13.4,1398
5089,14.8,1861
5091,12.7,3597
5093,11,3216
5095,12.3,713
5097,10.1,683
5099,10.7,666
5101,12.2,728
5103,13.2,2365
5105,10.5,764
5107,12.1,1680
5109,12.4,913
5111,8.8,1462
5113,10,1415
5115,20.1,7579
5117,11.5,717
5119,30.7,76866
5121,11.1,1376
5123,10.5,1986
5125,22.6,15787
5127,9,658
5129,9.2,550
5131,17.9,14416
5133,9.3,966
5135,12.5,1582
5137,10.4,932
5139,16.1,4590
5141,13.2,1637
5143,27.4,32453
5145,17.3,8206
5147,9,465
5149,10.3,1465
6001,40.3,400969
6003,29.7,223
6005,19,5547
6007,24.1,33435
6009,19.6,6639
6011,11.7,1518
6013,38.2,260204
6015,14.3,2771
6017,31.1,38521
6019,19.7,104284
6021,16.2,2814
6023,26.3,23322
6025,12.2,12130
6027,20.9,2755
6029,14.7,69997
6031,11.8,10764
6033,16.4,7458
6035,12.4,3079
6037,29,1817755
6039,13.5,12178
6041,54.1,98828
6043,20.4,2790
6045,22.7,13706
6047,12.5,17610
6049,15.6,1069
6051,29.9,2780
6053,23.4,59020
6055,30,27238
6057,31.9,22963
6059,36,694798
6061,34.1,77359
6063,19.8,3025
6065,20.5,263305
6067,27.8,248266
6069,18.3,6095
6071,18.4,217380
6073,34.1,663765
6075,51.2,311584
6077,17.5,70585
6079,30.6,53266
6081,44,216645
6083,31,79274
6085,45.3,526318
6087,37.3,61664
6089,20,24018
6091,23,598
6093,22.6,7258
6095,24,63923
6097,31.5,101606
6099,16.3,50216
6101,18.7,10921
6103,12.6,5188
6105,19.5,1994
6107,13,31566
6109,17.3,7201
6111,30.8,159156
6113,37.8,42603
6115,12.5,5339
8001,20.3,53474
8003,26.6,2414
8005,37.9,137039
8007,39,2754
8009,19,523
8011,13.2,584
8013,57,105430
8014,44.4,15365
8015,33.3,4420
8017,18.5,278
8019,41.6,2875
8021,18.7,975
8023,14.3,357
8025,12.2,515
8027,29.2,869
8029,18.3,3973
8031,40.1,157720
8033,14.9,216
8035,54.4,95039
8037,45.9,15600
8039,29.2,4545
8041,34.9,131532
8043,16.2,5717
8045,24.4,8624
8047,33.7,1359
8049,28.8,2856
8051,45.8,4327
8053,42,182
8055,27.2,1457
8057,21.7,231
8059,39.3,142490
8061,20.1,233
8063,14.9,844
8065,20.7,981
8067,40.6,13551
8069,42.5,78815
8071,19.3,2118
8073,15.3,594
8075,18,2697
8077,25.4,24020
8079,39.1,347
8081,14.9,1306
8083,26.5,4604
8085,22.3,6141
8087,14.6,2603
8089,15.4,1922
8091,41.3,1324
8093,32.6,4058
8095,16,468
8097,59.7,7475
8099,18.3,1458
8101,20.9,21472
8103,22.7,973
8105,19.2,1455
8107,45.6,7325
8109,19.4,819
8111,30.8,190
8113,48.8,2625
8115,12.7,229
8117,49.9,9772
8119,31,5166
8121,18.3,613
8123,25.4,37598
8125,17.8,1164
9001,43.6,264803
9003,33.3,200991
9005,32.3,43539
9007,37,43011
9009,31.7,183134
9011,30.6,56660
