fips,bach2018,bach2018_share
1001,10291,27.7
1003,46075,31.3
1005,2220,12.2
1007,1813,11.5
1009,5010,12.6
1011,945,13.3
1013,2235,16.1
1015,14219,18
1017,3118,13.2
1019,2407,12.9
1021,4219,14.2
1023,1225,13
1025,2118,12.6
1027,944,10.2
1029,1428,13.7
1031,8175,23.4
1033,7236,18.7
1035,949,10.7
1037,953,11.6
1039,3952,14.9
1041,1505,15.6
1043,7866,13.7
1045,5690,17
1047,4021,15.1
1049,6085,12.7
1051,13664,24.5
1053,3287,12.7
1055,12767,17.7
1057,1516,12.9
1059,2679,12.9
1061,2063,11.1
1063,589,10.1
1065,1421,14.1
1067,2187,18
1069,15076,21
1071,5280,14.2
1073,145462,32.4
1075,1235,12.5
1077,15185,23.9
1079,2738,11.7
1081,32377,34.1
1083,16367,25.5
1085,996,14.1
1087,2510,20.7
1089,101650,41.7
1091,2084,15.4
1093,2806,13.1
1095,12233,19.2
1097,63703,22.9
1099,2078,14.1
1101,48131,32.1
1103,17849,21.7
1105,913,15.7
1107,1959,13.5
1109,4536,23.6
1111,2350,14.9
1113,6438,16.5
1115,9991,16.5
1117,60424,42.1
1119,1715,21.8
1121,8017,14.3
1123,5244,18.3
1125,38669,30.3
1127,5204,11.6
1129,1276,11.1
1131,901,12.5
1133,2326,13.5
2013,336,12.7
2016,675,16.4
2020,67719,35.3
2050,1194,12.3
2060,144,22.3
2068,697,43.5
2070,559,19.3
2090,20152,32.6
2100,701,37.4
2105,393,23.4
2110,8879,39.5
2122,9378,23.3
2130,2343,24.5
2150,2285,26
2158,190,4.8
2164,134,15.8
2170,14073,21.2
2180,799,14.6
2185,1079,16.6
2188,489,11.7
2195,589,27.6
2198,787,17.6
2220,2004,32.6
2230,273,33.7
2240,851,19.1
2261,1981,30.6
2275,388,20.7
2282,90,20
2290,463,13.4
4001,5189,11.7
4003,20116,23
4005,29254,35.6
4007,7226,18.5
4009,3598,15.3
4011,709,11.9
4012,1972,12.4
4013,899070,32
4015,20104,12.9
4017,11025,15.8
4019,216291,31.9
4021,54794,19
4023,6138,21
4025,43270,25.2
4027,19315,14.8
5001,1937,15.5
5003,1838,13.2
5005,5802,18.3
5007,54780,32.4
5009,4145,16
5011,1142,15.2
5013,452,12.1
5015,4015,20.4
5017,1110,14.7
5019,3642,27.6
5021,1228,11.6
5023,2796,14.9
5025,920,16.2
5027,3028,20.6
5029,2329,16
5031,17809,26.3
5033,6432,15.3
5035,5607,18
5037,1771,15.4
5039,721,13.7
5041,984,12.4
5043,2420,20.6
5045,22472,30
5047,1423,11.8
5049,1043,11.8
5051,14335,20.2
5053,2287,18.3
5055,4734,15.9
5057,2178,15.1
5059,3526,14.7
5061,1308,14.7
5063,4754,18.9
5065,1397,13.8
5067,1254,10.2
5069,8432,17.8
5071,2735,15.8
5073,821,16.5
5075,1696,15
5077,607,8.9
5079,903,8.9
5081,1003,11.4
5083,1846,12.1
5085,9639,20.3
5087,1375,12.5
5089,2148,17.2
5091,4934,16.6
5093,3521,12.8
5095,537,10.5
5097,722,10.8
5099,916,15.4
5101,927,16.2
5103,2671,16
5105,858,11.9
5107,1729,14
5109,1113,14.7
5111,1643,10.1
5113,1872,13.3
5115,8860,22
5117,903,15.1
5119,90726,34.1
5121,1719,14
5123,1947,10.6
5125,21234,26.1
5127,631,9.1
5129,728,12.5
5131,16641,19.7
5133,1232,11.5
5135,1397,11.3
5137,1173,12.8
5139,5638,20.8
5141,1730,14.1
5143,45385,32.8
5145,10878,21.4
5147,569,12
5149,1963,13.5
6001,531701,46
6003,235,30
6005,5997,20.3
6007,39260,26.5
6009,6474,18.7
6011,2103,15.4
6013,324337,41.7
6015,2782,14.3
6017,45397,33.7
6019,123407,20.7
6021,2484,13.9
6023,27380,29.8
6025,15802,14.5
6027,3452,26.1
6029,85752,16.1
6031,12438,13.5
6033,7324,15.8
6035,2697,12
6037,2177481,31.8
6039,14084,14.5
6041,112018,58.8
6043,3197,23.4
6045,15241,24.7
6047,22051,14
6049,1078,15.9
6051,3076,30.6
6053,67157,24.5
6055,34277,34.9
6057,27754,36.6
6059,857638,39.9
6061,102345,38.6
6063,3390,23.5
6065,333718,21.8
6067,308126,30.4
6069,7486,19.7
6071,270028,20.3
6073,848022,38.1
6075,394004,57.1
6077,84486,18.4
6079,64923,34.6
6081,273630,49.9
6083,92634,33.8
6085,679498,51.3
6087,71610,40
6089,27995,22.2
6091,436,18.7
6093,7163,22.5
6095,78496,26.2
6097,124873,34.9
6099,57523,16.9
6101,11024,17.7
6103,6709,15.5
6105,1965,19.7
6107,38493,14.3
6109,8238,20
6111,187558,33.1
6113,52424,41.6
6115,7866,16.7
8001,74958,23.6
8003,2484,26.1
8005,181360,42.2
8007,3813,38.9
8009,577,22.1
8011,565,12.4
8013,127566,60.8
8014,25209,55.5
8015,5068,33.5
8017,253,20
8019,3416,46.5
8021,1069,20.2
8023,514,19.1
8025,372,9.6
8027,1324,36.9
8029,4700,21.2
8031,237877,47.9
8033,300,21.3
8035,124635,57.9
8037,18316,48.1
8039,6388,35.9
8041,167680,37.9
8043,6625,18.2
8045,11651,30
8047,1820,38.7
8049,4306,37.8
8051,5832,55.3
8053,318,43.9
8055,1106,21.4
8057,163,16.8
8059,180236,44.1
8061,204,21.5
8063,1017,18.9
8065,1858,34
8067,17223,43.9
8069,102473,46.3
8071,2053,19.7
8073,520,12.8
8075,3028,20.5
8077,28155,27.4
8079,286,39.9
8081,1514,17.1
8083,5207,28.6
8085,7017,23.9
8087,3231,17.6
8089,2172,17.7
8091,1866,48.6
8093,4094,30.2
8095,726,25.5
8097,8606,63.1
8099,1365,17.4
8101,24568,22
8103,843,20.2
8105,1818,23.7
8107,9232,50.4
8109,1074,22.9
8111,160,34.5
8113,3387,56.7
8115,353,20.8
8117,11672,51
8119,6200,34
8121,545,16.2
8123,50460,26.7
8125,1464,22.1
9001,303918,47.4
9003,234993,37.8
9005,47270,35.1
9007,49327,41.5
9009,207966,34.9
9011,62745,33.3
9013,39454,41.2
9015,19554,24.1
10001,27357,23.6
10003,136613,35.9
10005,43262,26.5
11001,280349,57.6
12001,67724,42.5
12003,2492,13.4
12005,29167,22.8
12007,2056,10.6
12009,125088,29.3
12011,429460,31.9
12013,1019,9.9
12015,33662,23.2
12017,20044,17.6
12019,33943,24.1
12021,99320,36.2
12023,7444,15.6
12027,2966,11.4
12029,1158,9.4
12031,183280,29.2
12033,55164,26.4
12035,19894,24.4
12037,1537,17.1
12039,5362,16.7
12041,1685,14.2
12043,997,9.9
12045,2157,17.7
12047,943,9.3
12049,1802,10.4
12051,2079,8.2
12053,23896,17.5
12055,13240,17
12057,305581,32.7
12059,1444,10.3
12061,32781,28.3
12063,4752,13.4
12065,2404,22
12067,969,15.8
12069,56151,22.7
12071,149514,27.8
12073,77725,45.7
12075,3683,12.6
12077,761,12.7
12079,1854,13.8
12081,81512,29.3
12083,50132,19.4
12085,40081,33
12086,553997,28.8
12087,19850,33.3
12089,16633,28.2
12091,42110,30.6
12093,3217,11.4
12095,297568,33.8
12097,45730,20.5
12099,376461,35.7
12101,86702,23.4
12103,226810,31
12105,92267,20
12107,6417,12.4
12109,72856,43.7
12111,44830,20.3
12113,33286,28.1
12115,113751,34.7
12117,122008,38.2
12119,33688,31.1
12121,4554,14.7
12123,1184,7.4
12125,933,8.3
12127,91702,23.6
12129,4225,18.4
12131,13686,28.4
12133,2069,11.7
13001,1193,9.7
13003,519,9.9
13005,749,10.1
13007,284,12.3
13009,5869,20.9
13011,1647,12.8
13013,8862,17.6
13015,13471,19.5
13017,1370,12
13019,1541,11.8
13021,25616,25.7
13023,1355,17.2
13025,1025,8.2
13027,1686,15.2
13029,7357,32.6
13031,11359,27.4
13033,1857,12.6
13035,1902,11.4
13037,446,9.4
13039,8083,24.5
13043,1013,14.1
13045,14982,20.6
13047,9461,20.8
13049,953,10.5
13051,63823,33.2
13053,1627,33.4
13055,1675,9.8
13057,59717,37
13059,29655,42.7
13061,173,7.9
13063,33538,19.5
13065,500,11.1
13067,231209,46.5
13069,3683,13.2
13071,3666,12.5
13073,34160,35.1
13075,1752,15.5
13077,27895,29.8
13079,907,10.3
13081,2066,13.7
13083,1540,13.9
13085,5163,30.4
13087,2592,14.6
13089,218302,43.4
13091,2045,13.7
13093,1137,11.3
13095,12376,21.4
13097,24762,27.1
13099,1085,15.6
13101,250,8.8
13103,7647,20.1
13105,1466,10.8
13107,1835,12.4
13109,1119,15.5
13111,4057,21.3
13113,35115,46.5
13115,13103,20.4
13117,73406,51.7
13119,2077,13.5
13121,352847,51.4
13123,4382,20
13125,186,9
13127,17267,29.6
13129,5449,14.4
13131,2391,14.1
13133,3273,25.8
13135,206823,36.1
13137,5541,18.7
13139,30566,24
13141,590,8.8
13143,2762,14
13145,7015,29.9
13147,2785,15.1
13149,783,9.8
13151,40226,28.3
13153,26999,27.3
13155,889,14.3
13157,9306,21
13159,1016,10.8
13161,969,10
13163,1175,11
13165,538,9.3
13167,701,10.4
13169,3924,20.1
13171,2035,17.1
13173,1118,16.4
13175,4916,15.6
13177,4939,25.6
13179,6501,18.3
13181,769,13.5
13183,1756,15.5
13185,17185,25.6
13187,5251,26.2
13189,1962,13.7
13191,1673,15.6
13193,820,8.6
13195,3582,18
13197,803,13.1
13199,1692,11.5
13201,515,12.3
13205,1696,11.1
13207,5008,26.3
13209,842,14.1
13211,2613,20.8
13213,2464,9.4
13215,33352,26.2
13217,13311,19.6
13219,12366,51.1
13221,1790,16.9
13223,24204,24.1
13225,3384,19.4
13227,5298,23.7
13229,1550,11.9
13231,1957,15.9
13233,3345,12.2
13235,1032,12.4
13237,3438,22.2
13239,158,9.1
13241,3110,24.8
13243,545,11.7
13245,27954,21.3
13247,15399,26.5
13249,440,12.9
13251,1369,14.2
13253,856,14.4
13255,7211,16.4
13257,3826,22.1
13259,512,11.2
13261,3548,18.6
13263,572,12
13265,90,7
13267,2346,13.2
13269,635,11.2
13271,1015,8.4
13273,746,12.3
13275,7021,23.1
13277,4257,16.5
13279,2790,15.8
13281,2185,26.2
13283,644,13.6
13285,8389,18.5
13287,685,12.5
13289,571,9.4
13291,3971,22.4
13293,2470,13.7
13295,7662,15.9
13297,11885,19.9
13299,3358,13.9
13301,527,13.4
13303,1975,14
13305,2579,12.9
13307,211,11.7
13309,703,12.8
13311,4383,21.4
13313,10491,15.7
13315,720,11.4
13317,876,12.6
13319,668,10.6
13321,1470,10.4
15001,41196,29.5
15003,233677,34.3
15005,17,24.6
15007,14968,29.5
15009,31138,26.6
16001,112640,37.8
16003,584,19.1
16005,14549,27.2
16007,795,20.3
16009,967,15.1
16011,5619,20.7
16013,5892,38.2
16015,1502,27.2
16017,7305,23.1
16019,20381,30.1
16021,1529,19
16023,353,18.2
16025,119,19.5
16027,23741,18.3
16029,878,19.9
16031,2583,18.6
16033,92,15.5
16035,1129,16.9
16037,729,23
16039,2690,16.4
16041,1427,18.1
16043,1726,20.9
16045,1749,14.8
16047,1481,15.2
16049,2419,20.2
16051,3616,22.6
16053,2098,14.9
16055,26349,24.9
16057,9861,45.1
16059,1243,21.1
16061,469,17.3
16063,330,10.1
16065,5923,36.4
16067,1711,13.4
16069,6092,21.9
16071,419,15.5
16073,833,11.2
16075,2138,14.2
16077,773,15.9
16079,1064,11.6
16081,3050,41.5
16083,10943,20.6
16085,2435,30.1
16087,1043,14.8
17001,11448,24.8
17003,515,11.3
17005,2576,21.8
17007,8113,23.2
17009,685,13.7
17011,4641,19.7
17013,477,13.6
17015,1933,18.1
17017,1262,14.6
17019,53851,44.4
17021,3939,16.6
17023,1936,17.6
17025,1424,15.2
17027,5994,22.5
17029,8441,25.6
17031,1361974,38
17033,2285,16.6
17035,1201,15.8
17037,19254,31.4
17039,2430,21.3
17041,2490,19
17043,309562,48.8
17045,2118,16.7
17047,633,13.9
17049,5230,22.5
17051,1793,11.7
17053,1882,20.2
17055,4393,15.9
17057,4510,17.6
17059,372,9.9
17061,1169,12.4
17063,7908,23.6
17065,1071,18.3
17067,2773,21.3
17069,334,11.2
17071,790,15.4
17073,7842,22.6
17075,3072,15.4
17077,12727,36
17079,1171,17.5
17081,4639,17.4
17083,3121,20.5
17085,3867,23.8
17087,1526,16.5
17089,113849,33.1
17091,15260,21
17093,27653,35.4
17095,6582,18.5
17097,205787,45
17099,13887,17.9
17101,1580,13.5
17103,4418,17.7
17105,4014,15.7
17107,4162,20.4
17109,5968,32.4
17111,69714,33.7
17113,47013,44.8
17115,16485,22.5
17117,6262,19.4
17119,47775,25.8
17121,3952,15
17123,1436,16.8
17125,1528,15.4
17127,1351,13.2
17129,2026,23.1
17131,1993,17.8
17133,7753,32.5
17135,3280,15.6
17137,4782,19.9
17139,1930,19.5
17141,7139,20
17143,37535,30.4
17145,1796,11.7
17147,3238,27.9
17149,1666,15.1
17151,460,13.4
17153,490,12.3
17155,618,14.6
17157,3035,12.8
17159,2360,21.3
17161,23144,23.2
17163,48663,27.3
17165,3039,17.8
17167,46708,34.2
17169,954,18.2
17171,534,15
17173,2633,16.9
17175,680,17.5
17177,6159,19.3
17179,24656,26.4
17181,2816,22.8
17183,8032,15.1
17185,1398,17.2
17187,2599,23
17189,2091,20.6
17191,1684,14.6
17193,1520,15.2
17195,7259,18.5
17197,152229,34
17199,10735,22.6
17201,43910,22.6
17203,8199,31.6
18001,3245,15.3
18003,67527,28.2
18005,17911,32.3
18007,985,16.9
18009,1176,13.6
18011,20445,48.3
18013,3088,27.4
18015,2401,17.2
18017,3616,13.9
18019,16676,20.9
18021,3061,16.8
18023,3530,16.6
18025,854,11.4
18027,2808,13.8
18029,7378,21.6
18031,3493,19.6
18033,5082,17.7
18035,17253,24.3
18037,6325,22.2
18039,24770,19.2
18041,1894,11.6
18043,15510,29.5
18045,1728,15
18047,3083,19.8
18049,2003,14.4
18051,3989,17.4
18053,7584,17.1
18055,3369,14.8
18057,118226,57.8
18059,15304,30.3
18061,4836,17.4
18063,38805,36.3
18065,5726,16.6
18067,12110,21.2
18069,4727,19
18071,4626,15.5
18073,3323,14.9
18075,1460,10.6
18077,3972,17.9
18079,2082,11.1
18081,32041,31.8
18083,4027,16.4
18085,11879,22.7
18087,2333,10.4
18089,72259,22.1
18091,13808,17.9
18093,4996,15.5
18095,16174,18
18097,188718,30.4
18099,6293,20.5
18101,953,13.4
18103,3173,12.7
18105,37962,45.6
18107,4687,18.1
18109,8089,16.9
18111,1115,11.2
18113,4481,14.3
18115,603,13.7
18117,1660,12.3
18119,1883,12.6
18121,1468,12.2
18123,2028,14.9
18125,1202,13.7
18127,32394,28.2
18129,3722,20.7
18131,1104,12.5
18133,3984,16.1
18135,2487,14.3
18137,3480,18.1
18139,1500,13
18141,51236,29.2
18143,1954,11.9
18145,5977,19.4
18147,2143,14.9
18149,1700,10.8
18151,4879,20.6
18153,1607,10.8
18155,711,9.9
18157,39360,37.7
18159,2507,23
18161,849,16.9
18163,32555,26.3
18165,1469,13.4
18167,16918,24.5
18169,3997,18.4
18171,1109,18.9
18173,12541,29.6
18175,2535,13.2
18177,8312,18.2
18179,3406,18.1
18181,2805,16.8
18183,4854,20.9
19001,790,15.4
19003,478,17.7
19005,1792,18.5
19007,1523,17.1
19009,602,14.6
19011,3999,22.6
19013,23964,28.6
19015,4578,24.8
19017,4952,30.3
19019,2875,20.6
19021,2506,19.6
19023,1823,17.5
19025,1371,19.5
19027,3070,22.2
19029,1849,19.6
19031,2981,23
19033,6942,22.7
19035,1766,21.4
19037,1412,16.9
19039,1063,16.9
19041,2584,22.6
19043,2166,17.2
19045,6235,19.1
19047,1428,12.8
19049,27049,49.4
19051,1145,20.5
19053,1143,23.5
19055,1964,16.6
19057,5636,20.5
19059,3972,31.3
19061,19669,30.5
19063,1305,20.2
19065,2740,19.8
19067,2170,19.9
19069,1264,17.7
19071,960,19.3
19073,1265,20.1
19075,2417,28
19077,1486,19.8
19079,2560,24.3
19081,1787,23.1
19083,2397,19.8
19085,1862,18.8
19087,2744,20.1
19089,942,14.9
19091,1393,20.8
19093,917,19
19095,2142,19.1
19097,2568,18.8
19099,4634,17.9
19101,4030,31.6
19103,45730,53
19105,2697,18.4
19107,1304,18.2
19109,1944,18.3
19111,3829,15.7
19113,49199,33
19115,1096,14.2
19117,1010,17
19119,1626,21.4
19121,2569,23.9
19123,3334,22.3
19125,5702,26.4
19127,5065,19
19129,2442,23.7
19131,1288,17.7
19133,1067,16.7
19135,885,16.6
19137,1232,17.5
19139,6283,22
19141,1910,19.9
19143,772,18.1
19145,2374,21.3
19147,1569,25
19149,3528,21
19151,729,14.7
19153,113109,36.1
19155,13396,21.2
19157,3028,25.1
19159,715,20.6
19161,1441,20.6
19163,37088,31.9
19165,1719,20.8
19167,5785,28.1
19169,25714,51.1
19171,1875,16.1
19173,642,14.9
19175,1461,17.2
19177,710,14.1
19179,4322,18
19181,10241,31.7
19183,3214,21.5
19185,566,13
19187,4857,19.6
19189,1612,22.4
19191,3989,29.7
19193,15047,23
19195,819,15.5
19197,1573,17.7
20001,1757,20.4
20003,913,17.5
20005,2208,21.9
20007,605,18.3
20009,3319,18.4
20011,1972,20.6
20013,1425,21.8
20015,12644,29
20017,394,21.6
20019,411,16.8
20021,2661,19.1
20023,503,26.3
20025,445,31.5
20027,1542,27.2
20029,1367,22.5
20031,1337,22.9
20033,237,18.6
20035,4718,20.1
20037,6880,29.5
20039,507,23.5
20041,2893,22.1
20043,980,19.3
20045,34502,50.4
20047,375,17.9
20049,284,15
20051,6079,34.8
20053,925,20.4
20055,3686,17.1
20057,3605,17.6
20059,3315,19.5
20061,4072,21.9
20063,436,22.7
20065,499,26.2
20067,697,15.4
20069,795,21
20071,227,29
20073,877,19.6
20075,288,18.2
20077,674,17.1
20079,7027,31
20081,405,16.3
20083,371,28.4
20085,1921,21.3
20087,2899,21.9
20089,372,16.9
20091,217617,55.3
20093,378,15.9
20095,1273,24.2
20097,453,27.9
20099,2462,17.8
20101,242,21.6
20103,17127,31.7
20105,488,22.6
20107,1086,16
20109,338,17.6
20111,5460,27.3
20113,5600,29
20115,2068,25.1
20117,1282,18.6
20119,552,20.1
20121,6200,27.7
20123,1056,25.3
20125,4051,18.2
20127,812,20.1
20129,322,17.1
20131,1624,24.5
20133,2217,20.6
20135,409,18.9
20137,636,15.9
20139,2039,18.6
20141,598,23
20143,963,23.5
20145,949,18.8
20147,836,22.3
20149,5149,34.5
20151,1748,28.1
20153,465,25.1
20155,8881,20.5
20157,855,24.5
20159,1463,23.2
20161,17403,46
20163,862,24
20165,525,23.1
20167,1349,25.9
20169,9701,26.2
20171,794,24.9
20173,102042,30.9
20175,1459,11.1
20177,37093,30.8
20179,390,21.4
20181,768,19.1
20183,527,19.1
20185,697,23.9
20187,262,19.3
20189,440,12.2
20191,3477,22.2
20193,1275,25.5
20195,478,22.8
20197,1105,23.3
20199,339,30.9
20201,788,20.3
20203,314,21.1
20205,878,14.4
20207,314,13.5
20209,18048,17.4
21001,2125,16.3
21003,2067,14.6
21005,3093,20.3
21007,756,13.3
21009,4757,16
21011,1015,12.4
21013,1713,8.9
21015,26756,31.6
21017,2647,18.9
21019,6928,20.2
21021,4671,23.4
21023,775,13.7
21025,1323,14.3
21027,1546,11.1
21029,7812,14.2
21031,1132,12.6
21033,1376,15.3
21035,6974,29
21037,21203,33.5
21039,504,14.8
21041,634,8.8
21043,2540,13.7
21045,1466,13.3
21047,7111,17.3
21049,5037,20.1
21051,1398,9.5
21053,718,10.1
21055,847,13.1
21057,618,13.1
21059,15403,22.9
21061,938,10.8
21063,462,8.3
21065,1015,9.9
21067,88572,42.9
21069,1243,12.7
21071,2908,11.2
21073,10514,29.8
21075,579,13.3
21077,676,11.6
21079,2065,16.8
21081,2172,13.6
21083,4114,16.3
21085,1858,10.4
21087,951,12
21089,4373,17.2
21091,636,11
21093,16317,23
21095,2036,10.8
21097,1913,14.8
21099,1477,11.8
21101,5706,17.9
21103,1316,12.2
21105,577,17.6
21107,5069,16
21109,1136,12.2
21111,172885,32.7
21113,10077,29.5
21115,2399,14.9
21117,34021,30.4
21119,1382,12.9
21121,2772,13.1
21123,998,10.1
21125,5539,13.4
21127,1087,10
21129,504,10.3
21131,718,9.7
21133,1893,11.7
21135,1048,11
21137,1874,11.1
21139,759,11.4
21141,2755,15
21143,1014,15.9
21145,11302,24.6
21147,851,6.9
21149,770,12
21151,16727,30.5
21153,857,9.7
21155,1725,13.2
21157,4270,18.8
21159,714,8.5
21161,2214,18.9
21163,3526,18.2
21165,527,11.3
21167,2633,17.5
21169,918,13.1
21171,961,12.9
21173,3079,16.3
21175,1340,13.6
21177,2417,11.1
21179,5236,17.2
21181,492,10.2
21183,2180,13.3
21185,18211,42.2
21187,731,9.9
21189,504,16.2
21191,1130,11.3
21193,2333,12.3
21195,5574,13
21197,1232,14.7
21199,6896,15.3
21201,245,16
21203,1262,10.6
21205,3731,26.6
21207,1604,12.9
21209,9955,28.6
21211,7714,24.2
21213,1732,14.2
21215,2564,20.2
21217,3175,19.2
21219,1051,12.9
21221,1735,16.9
21223,720,12
21225,1056,11
21227,23437,30.6
21229,1434,17.7
21231,1879,12.8
21233,892,9.8
21235,4424,19.2
21237,386,7.6
21239,5964,32.9
22001,5458,13.4
22003,2283,12.7
22005,20953,26.8
22007,1589,10.2
22009,3358,12.1
22011,4281,17.5
22013,1174,12.4
22015,21240,25.6
22017,39232,23.5
22019,28968,21.9
22021,964,14.2
22023,558,11.6
22025,785,11.7
22027,1742,14.7
22029,1711,12.8
22031,2619,14.2
22033,96897,34.7
22035,409,8.5
22037,1796,12.6
22039,2773,12.8
22041,1599,11.9
22043,1332,8.4
22045,5994,12.7
22047,3330,14.5
22049,1515,13.5
22051,79756,26.1
22053,3301,15.9
22055,51339,32.1
22057,10968,16.6
22059,1221,12.2
22061,9384,36.5
22063,16593,18.3
22065,959,12.6
22067,2249,13
22069,4129,17.8
22071,101120,36.8
22073,24462,24.3
22075,2994,19.6
22077,2350,15.2
22079,17832,20.5
22081,818,13.9
22083,1856,13.5
22085,2163,13.1
22087,3643,12.3
22089,8479,24.2
22091,1017,13.9
22093,2088,14.3
