fips,broadband_sub
1001,0.620
1003,0.572
1005,0.388
1007,0.334
1009,0.495
1011,0.420
1013,0.443
1015,0.555
1017,0.478
1019,0.435
1021,0.389
1023,0.406
1025,0.325
1027,0.417
1029,0.331
1031,0.597
1033,0.466
1035,0.231
1037,0.373
1039,0.428
1041,0.406
1043,0.463
1045,0.537
1047,0.417
1049,0.486
1051,0.656
1053,0.243
1055,0.568
1057,0.445
1059,0.329
1061,0.421
1063,0.336
1065,0.360
1067,0.471
1069,0.561
1071,0.547
1073,0.642
1075,0.402
1077,0.483
1079,0.283
1081,0.684
1083,0.624
1085,0.275
1087,0.342
1089,0.731
1091,0.325
1093,0.423
1095,0.581
1097,0.553
1099,0.303
1101,0.650
1103,0.593
1105,0.255
1107,0.321
1109,0.443
1111,0.407
1113,0.432
1115,0.601
1117,0.754
1119,0.371
1121,0.490
1123,0.495
1125,0.556
1127,0.415
1129,0.305
1131,0.287
1133,0.349
2013,0.495
2016,0.531
2020,0.763
2050,0.374
2060,0.622
2068,0.764
2070,0.391
2090,0.677
2100,0.757
2105,0.254
2110,0.775
2122,0.509
2130,0.741
2150,0.687
2158,0.209
2164,0.228
2170,0.741
2180,0.414
2185,0.530
2188,0.479
2195,0.726
2198,0.337
2220,0.684
2230,0.638
2240,0.370
2261,0.661
2275,0.603
2282,0.073
2290,0.206
4001,0.253
4003,0.598
4005,0.588
4007,0.467
4009,0.519
4011,0.592
4012,0.343
4013,0.719
4015,0.625
4017,0.456
4019,0.679
4021,0.635
4023,0.513
4025,0.621
4027,0.573
5001,0.395
5003,0.377
5005,0.576
5007,0.546
5009,0.583
5011,0.371
5013,0.362
5015,0.406
5017,0.318
5019,0.445
5021,0.453
5023,0.406
5025,0.287
5027,0.352
5029,0.298
5031,0.604
5033,0.489
5035,0.476
5037,0.353
5039,0.381
5041,0.275
5043,0.412
5045,0.620
5047,0.334
5049,0.381
5051,0.499
5053,0.456
5055,0.515
5057,0.345
5059,0.363
5061,0.233
5063,0.395
5065,0.434
5067,0.381
5069,0.343
5071,0.458
5073,0.334
5075,0.426
5077,0.218
5079,0.309
5081,0.283
5083,0.433
5085,0.621
5087,0.317
5089,0.535
5091,0.538
5093,0.461
5095,0.215
5097,0.340
5099,0.244
5101,0.473
5103,0.380
5105,0.406
5107,0.401
5109,0.402
5111,0.431
5113,0.319
5115,0.583
5117,0.336
5119,0.589
5121,0.460
5123,0.281
5125,0.548
5127,0.338
5129,0.319
5131,0.584
5133,0.389
5135,0.408
5137,0.387
5139,0.480
5141,0.405
5143,0.607
5145,0.471
5147,0.392
5149,0.514
6001,0.794
6003,0.729
6005,0.641
6007,0.686
6009,0.586
6011,0.440
6013,0.801
6015,0.637
6017,0.681
6019,0.609
6021,0.468
6023,0.656
6025,0.604
6027,0.628
6029,0.604
6031,0.637
6033,0.512
6035,0.601
6037,0.705
6039,0.569
6041,0.827
6043,0.622
6045,0.530
6047,0.574
6049,0.528
6051,0.595
6053,0.620
6055,0.743
6057,0.672
6059,0.792
6061,0.761
6063,0.410
6065,0.732
6067,0.741
6069,0.686
6071,0.690
