fips,emp.2019
1001,25458
1003,94675
1005,8213
1007,8419
1009,24655
1011,4643
1013,8925
1015,44574
1017,15286
1019,11266
1021,19280
1023,4452
1025,7121
1027,5918
1029,5623
1031,20779
1033,22761
1035,4353
1037,4414
1039,15119
1041,6293
1043,37648
1045,20082
1047,13904
1049,30182
1051,36586
1053,14248
1055,41295
1057,6372
1059,14291
1061,10725
1063,2722
1065,5878
1067,6697
1069,44844
1071,22712
1073,309664
1075,5670
1077,41160
1079,13859
1081,74500
1083,42700
1085,3383
1087,7513
1089,180505
1091,7423
1093,12486
1095,42999
1097,182083
1099,6973
1101,102517
1103,56771
1105,3235
1107,7647
1109,14924
1111,9347
1113,23198
1115,39441
1117,113414
1119,4635
1121,34556
1123,18096
1125,102122
1127,24517
1129,6487
1131,2544
1133,9705
2013,2360
2016,3477
2020,139526
2050,6120
2060,414
2068,950
2070,1781
2090,42248
2100,1012
2105,1028
2110,16243
2122,24383
2130,6456
2150,5582
2158,2164
2164,638
2170,43661
2180,3596
2185,3261
2188,2523
2195,1267
2198,2562
2220,4155
2230,746
2240,2558
2261,4452
2275,925
2282,227
2290,2113
4001,18468
4003,47695
4005,73206
4007,20485
4009,14608
4011,4342
4012,8789
4013,2217656
4015,82815
4017,37973
4019,476620
4021,178309
4023,17963
4025,102138
4027,83437
5001,9141
5003,7333
5005,15646
5007,133610
5009,15525
5011,4298
5013,2345
5015,12383
5017,3057
5019,9323
5021,5413
5023,8808
5025,3092
5027,8730
5029,7926
5031,54097
5033,26028
5035,20512
5037,7097
5039,2706
5041,5161
5043,7456
5045,60556
5047,7242
5049,4763
5051,39809
5053,8136
5055,19366
5057,9571
5059,13509
5061,5525
5063,15868
5065,4643
5067,5460
5069,26220
5071,9809
5073,2351
5075,6533
5077,2706
5079,3777
5081,5280
5083,8210
5085,33359
5087,7238
5089,6406
5091,18941
5093,16467
5095,2642
5097,2832
5099,3517
5101,3218
5103,9330
5105,4100
5107,5996
5109,4086
5111,9929
5113,7782
5115,27618
5117,3430
5119,183776
5121,7017
5123,7772
5125,57450
5127,4167
5129,2781
5131,54834
5133,5248
5135,5457
5137,4503
5139,15018
5141,5455
5143,121914
5145,32281
5147,2627
5149,8081
6001,819675
6003,523
6005,14328
6007,94162
6009,20616
6011,9586
6013,544496
6015,9119
6017,88785
6019,418092
6021,12201
6023,60254
6025,58331
