fips,metro
1001,1
1003,1
1005,0
1007,1
1009,1
1011,0
1013,0
1015,1
1017,0
1019,0
1021,1
1023,0
1025,0
1027,0
1029,0
1031,1
1033,1
1035,0
1037,0
1039,0
1041,0
1043,1
1045,1
1047,1
1049,0
1051,1
1053,0
1055,1
1057,0
1059,0
1061,1
1063,0
1065,1
1067,1
1069,1
1071,0
1073,1
1075,0
1077,1
1079,1
1081,1
1083,1
1085,1
1087,0
1089,1
1091,0
1093,0
1095,1
1097,1
1099,0
1101,1
1103,1
1105,0
1107,1
1109,0
1111,0
1113,1
1115,1
1117,1
1119,0
1121,1
1123,0
1125,1
1127,1
1129,0
1131,0
1133,0
2013,0
2016,0
2020,1
2050,0
2060,0
2068,0
2070,0
2090,1
2100,0
2105,0
2110,0
2122,0
2130,0
2150,0
2164,0
2170,1
2180,0
2185,0
2188,0
2195,0
2198,0
2220,0
2230,0
2240,0
2261,0
2270,0
2275,0
2282,0
2290,0
4001,0
4003,1
4005,1
4007,1
4009,0
4011,0
4012,0
4013,1
4015,1
4017,1
4019,1
4021,1
4023,1
4025,1
4027,1
5001,0
5003,0
5005,0
5007,1
5009,0
5011,0
5013,0
5015,0
5017,0
5019,0
5021,0
5023,0
5025,1
5027,0
5029,0
5031,1
5033,1
5035,1
5037,0
5039,0
5041,0
5043,0
5045,1
5047,0
5049,0
5051,1
5053,1
5055,1
5057,0
5059,0
5061,0
5063,0
5065,0
5067,0
5069,1
5071,0
5073,0
5075,0
5077,0
5079,1
5081,1
5083,0
5085,1
5087,1
5089,0
5091,1
5093,1
5095,0
5097,0
5099,0
5101,0
5103,0
5105,1
5107,0
5109,0
5111,1
5113,0
5115,0
5117,0
5119,1
5121,0
5123,0
5125,1
5127,0
5129,0
5131,1
5133,0
5135,0
5137,0
5139,0
5141,0
5143,1
5145,1
5147,0
5149,0
6001,1
6003,0
6005,0
6007,1
6009,0
6011,0
6013,1
6015,0
6017,1
6019,1
6021,0
6023,0
6025,1
6027,0
6029,1
6031,1
6033,1
6035,0
6037,1
6039,1
6041,1
6043,0
6045,1
6047,1
6049,0
6051,0
6053,1
6055,1
6057,1
6059,1
6061,1
6063,0
6065,1
6067,1
6069,1
6071,1
6073,1
6075,1
6077,1
6079,1
6081,1
6083,1
6085,1
6087,1
6089,1
6091,0
6093,0
6095,1
6097,1
6099,1
6101,1
6103,1
6105,0
6107,1
6109,1
6111,1
6113,1
6115,1
8001,1
8003,0
8005,1
8007,0
8009,0
8011,0
8013,1
8014,1
8015,0
8017,0
8019,1
8021,0
8023,0
8025,0
8027,0
8029,0
8031,1
8033,0
8035,1
8037,0
8039,1
8041,1
8043,1
8045,0
8047,1
8049,0
8051,0
8053,0
8055,0
8057,0
8059,1
8061,0
8063,0
8065,0
8067,1
8069,1
8071,0
8073,0
8075,0
8077,1
8079,0
8081,0
8083,0
8085,1
8087,0
8089,0
8091,0
8093,1
8095,0
8097,0
8099,0
8101,1
8103,0
8105,0
8107,0
8109,0
8111,0
8113,0
8115,0
8117,0
8119,1
8121,0
8123,1
8125,0
9001,1
9003,1
9005,1
9007,1
9009,1
9011,1
9013,1
9015,1
10001,1
10003,1
10005,1
11001,1
12001,1
12003,1
12005,1
12007,0
12009,1
12011,1
12013,0
12015,1
12017,1
12019,1
12021,1
12023,1
12027,0
12029,0
12031,1
12033,1
12035,1
12037,0
12039,1
12041,1
12043,0
12045,1
12047,0
12049,0
12051,1
12053,1
12055,1
12057,1
12059,0
12061,1
12063,0
12065,1
12067,0
12069,1
12071,1
12073,1
12075,0
12077,0
12079,0
12081,1
12083,1
12085,1
12086,1
12087,1
12089,1
12091,1
12093,1
12095,1
12097,1
12099,1
12101,1
12103,1
12105,1
12107,1
12109,1
12111,1
12113,1
12115,1
12117,1
12119,1
12121,0
12123,0
12125,0
12127,1
12129,1
12131,1
12133,0
13001,0
13003,0
13005,0
13007,1
13009,1
13011,0
13013,1
13015,1
13017,0
13019,0
13021,1
13023,0
13025,1
13027,1
13029,1
13031,1
13033,1
13035,1
13037,0
13039,1
13043,0
13045,1
13047,1
13049,0
13051,1
13053,1
13055,0
13057,1
13059,1
13061,0
13063,1
13065,0
13067,1
13069,0
13071,0
13073,1
13075,0
13077,1
13079,1
13081,0
13083,1
13085,1
13087,0
13089,1
13091,0
13093,0
13095,1
13097,1
13099,0
13101,1
13103,1
13105,0
13107,0
13109,0
13111,0
13113,1
13115,1
13117,1
13119,0
13121,1
13123,0
13125,0
13127,1
13129,1
13131,0
13133,0
13135,1
13137,0
13139,1
13141,0
13143,1
13145,1
13147,0
13149,1
13151,1
13153,1
13155,0
13157,1
13159,1
13161,0
13163,0
13165,0
13167,0
13169,1
13171,1
13173,1
13175,0
13177,1
13179,1
13181,1
13183,1
13185,1
13187,0
13189,1
13191,1
13193,0
13195,1
13197,1
13199,1
13201,0
13205,0
13207,1
13209,0
13211,1
13213,1
13215,1
13217,1
13219,1
13221,1
13223,1
13225,1
13227,1
13229,0
13231,1
13233,1
13235,1
13237,0
13239,0
13241,0
13243,0
13245,1
13247,1
13249,0
13251,0
13253,0
13255,1
13257,0
13259,0
13261,0
13263,0
13265,0
13267,0
13269,0
13271,0
13273,1
13275,1
13277,0
13279,0
13281,0
13283,0
13285,1
13287,0
13289,1
13291,0
13293,0
13295,1
13297,1
13299,0
13301,0
13303,0
13305,0
13307,0
13309,0
13311,0
13313,1
13315,0
13317,0
13319,0
13321,1
15001,0
15003,1
15005,1
15007,0
15009,1
16001,1
16003,0
16005,1
16007,0
16009,0
16011,1
16013,0
16015,1
16017,0
16019,1
16021,0
16023,1
16025,0
16027,1
16029,0
16031,0
16033,0
16035,0
16037,0
16039,0
16041,1
16043,0
16045,1
16047,0
16049,0
16051,1
16053,0
16055,1
16057,1
16059,0
16061,0
16063,0
16065,1
16067,0
16069,1
16071,0
16073,1
